40;;;90;;;140;;;190;;;240;;;290;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV)
83.86;4.0473;;84.002;5.9489;;84;2.3922;;83.83;7.3691;;83.947;8.2995;;84.183;10.1975
84.86;4.0119;;85;5.9231;;85;2.381;;84.829;7.3606;;84.946;8.2919;;85.182;10.19
85.86;4.0002;;86;5.91;;86.001;2.3693;;85.83;7.3504;;85.946;8.2846;;86.182;10.1814
86.86;3.9693;;87.005;5.8915;;87.001;2.3575;;86.829;7.3422;;86.946;8.2773;;87.182;10.1741
87.86;3.9419;;88;5.8761;;88.001;2.3459;;87.829;7.3336;;87.946;8.2692;;88.182;10.1663
88.861;3.9265;;89;5.8702;;89;2.3336;;88.83;7.3243;;88.947;8.2619;;89.183;10.1579
89.86;3.9052;;90;5.8509;;90;2.3221;;89.83;7.3154;;89.947;8.2538;;90.183;10.1515
90.86;3.8881;;91;5.8344;;91.001;2.311;;90.83;7.3073;;90.947;8.2468;;91.183;10.1427
91.86;3.8571;;92;5.8262;;92.001;2.3003;;91.83;7.2989;;91.946;8.2386;;92.183;10.1355
92.86;3.8412;;93.006;5.81;;93.001;2.2894;;92.83;7.2896;;92.946;8.2318;;93.183;10.1282
93.861;3.8218;;94.001;5.7914;;94.001;2.2774;;93.83;7.2816;;93.946;8.2239;;94.183;10.1198
94.86;3.8074;;95;5.7758;;95;2.2664;;94.83;7.2585;;94.947;8.2173;;95.183;10.1117
95.86;3.7746;;96.001;5.7566;;96;2.2547;;95.83;7.2612;;95.946;8.2106;;96.183;10.104
96.86;3.7547;;97;5.733;;97;2.244;;96.83;7.2568;;96.946;8.2031;;97.182;10.097
97.86;3.7224;;98;5.7201;;98;2.2321;;97.83;7.2484;;97.946;8.1963;;98.182;10.0893
98.86;3.6941;;99.001;5.7035;;99;2.2213;;98.83;7.2398;;98.946;8.1881;;99.182;10.082
99.86;3.6759;;100.001;5.6862;;100;2.2103;;99.83;7.2321;;99.947;8.1815;;100.183;10.0724
100.861;3.6507;;101.001;5.6764;;101;2.1998;;100.83;7.2232;;100.947;8.1746;;101.182;10.0657
101.86;3.6259;;102.001;5.6645;;102;2.1881;;101.829;7.2145;;101.946;8.1676;;102.182;10.0576
102.86;3.6088;;103.001;5.6475;;103;2.1773;;102.83;7.2068;;102.946;8.1601;;103.182;10.0492
103.86;3.5821;;104.001;5.6322;;104;2.1663;;103.83;7.1973;;103.947;8.1532;;104.183;10.0427
104.861;3.5541;;105;5.6255;;105.001;2.1552;;104.829;7.1892;;104.947;8.1462;;105.183;10.0349
;;;106;5.6113;;106.001;2.1452;;105.829;7.1819;;105.947;8.1395;;106.182;10.0284
;;;107;5.5926;;107.001;2.1344;;106.829;7.173;;106.947;8.1322;;107.183;10.0212
;;;108;5.5766;;108.001;2.1236;;107.829;7.1642;;107.947;8.1247;;108.183;10.0137
;;;109;5.5688;;109;2.1116;;108.83;7.1567;;108.947;8.1195;;109.183;10.0062
;;;110;5.5526;;110;2.1005;;109.829;7.1483;;109.946;8.1135;;110.183;9.9999
;;;111.001;5.5386;;111;2.09;;110.829;7.1411;;110.946;8.1061;;111.184;9.9927
;;;112;5.5261;;112;2.0789;;111.829;7.1327;;111.947;8.0989;;112.183;9.9861
;;;113;5.5211;;113;2.0679;;112.83;7.1241;;112.946;8.0914;;113.184;9.9786
;;;114.001;5.4904;;114;2.0571;;113.829;7.1157;;113.946;8.0844;;114.183;9.9712
;;;115.001;5.4797;;115.001;2.045;;114.829;7.1079;;114.946;8.0772;;115.184;9.9641
;;;116.001;5.4606;;116;2.0346;;115.829;7.0979;;115.947;8.071;;116.184;9.9563
;;;117;5.4488;;117;2.0243;;116.83;7.0892;;116.946;8.0642;;117.184;9.9502
;;;118;5.4459;;118;2.0131;;117.834;7.0812;;117.947;8.0574;;118.184;9.9433
;;;119;5.4481;;119;2.0028;;118.83;7.0699;;118.947;8.0503;;119.183;9.9351
;;;120;5.432;;120.001;1.991;;119.83;7.065;;119.946;8.043;;120.183;9.9277
;;;121;5.4138;;121;1.9808;;120.829;7.058;;120.947;8.0363;;121.184;9.9208
;;;122;5.3908;;122;1.97;;121.829;7.0485;;121.947;8.0289;;122.184;9.9128
;;;123.001;5.3721;;123.001;1.9589;;122.83;7.04;;122.946;8.0229;;123.183;9.9044
;;;124.001;5.3723;;124.001;1.9482;;123.83;7.0428;;123.946;8.0157;;124.184;9.8978
;;;125.001;5.3629;;125.001;1.9364;;124.829;7.0346;;124.947;8.008;;125.184;9.8915
;;;126;5.3402;;126;1.9264;;125.83;7.0286;;125.946;8.0016;;126.183;9.8839
;;;127;5.3265;;127;1.9159;;126.829;7.0207;;126.947;7.9952;;127.183;9.8768
;;;128;5.3126;;128.001;1.9049;;127.83;7.0127;;127.946;7.9873;;128.183;9.8695
;;;129.001;5.2986;;129;1.8954;;128.83;7.0047;;128.947;7.9805;;129.184;9.8631
;;;130;5.2905;;130;1.8836;;129.83;6.9965;;129.952;7.9747;;130.184;9.8548
;;;131;5.2717;;131.001;1.8736;;130.83;6.9876;;130.947;7.9668;;131.184;9.848
;;;132;5.2553;;132;1.8629;;131.829;6.9803;;131.946;7.96;;132.184;9.8419
;;;133;5.2443;;133;1.853;;132.83;6.9728;;132.947;7.9537;;133.183;9.8344
;;;134;5.2225;;134;1.8416;;133.829;6.9636;;133.947;7.9469;;134.183;9.8235
;;;135.001;5.2197;;135;1.8304;;134.83;6.9568;;134.946;7.9406;;135.184;9.8172
;;;136;5.1877;;136;1.8209;;135.83;6.9478;;135.951;7.9341;;136.184;9.8115
;;;137;5.18;;137.001;1.8108;;136.829;6.9401;;136.947;7.9262;;137.183;9.8044
;;;138.001;5.166;;138.001;1.8003;;137.83;6.9319;;137.947;7.9194;;138.183;9.7988
;;;139.001;5.1513;;139;1.7898;;138.829;6.9233;;138.947;7.9119;;139.183;9.7925
;;;140.001;5.1383;;140;1.7794;;139.83;6.915;;139.947;7.9054;;140.183;9.7851
;;;141.005;5.1231;;141;1.7688;;140.829;6.9075;;140.947;7.8996;;141.183;9.7784
;;;142;5.1009;;142;1.7587;;141.829;6.899;;141.946;7.8916;;142.184;9.7724
;;;143;5.0831;;143.001;1.7478;;142.829;6.8927;;142.946;7.8849;;143.183;9.7661
;;;144;5.0892;;144;1.7378;;143.83;6.8845;;143.946;7.8772;;144.184;9.7585
;;;145;5.0733;;145;1.7282;;144.829;6.8762;;144.946;7.8709;;145.184;9.7518
;;;146;5.0592;;146;1.7175;;145.829;6.8685;;145.946;7.8641;;146.183;9.7466
;;;147;5.0504;;147;1.7072;;146.829;6.8604;;146.947;7.8562;;147.184;9.7387
;;;148;5.0419;;;;;147.83;6.8523;;147.947;7.85;;148.183;9.7327
;;;149;5.0369;;;;;148.83;6.8449;;148.946;7.8429;;149.184;9.7257
;;;150.001;5.0136;;;;;149.83;6.8374;;149.946;7.8356;;150.184;9.7184
