Time,Object Name,Status,Value,Units,Alert ID,Priority
15.02.2024 9:31:02,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:02,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:04,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:04,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:04,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:04,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:04,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:06,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:06,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:06,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:06,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:06,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:08,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:08,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:08,TIC Turbo Power,,7.3,,0,0
15.02.2024 9:31:08,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:08,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:10,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:10,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:10,TIC Turbo Power,,8.2,,0,0
15.02.2024 9:31:10,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:10,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:12,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:12,TIC Turbo Power,,6.8,,0,0
15.02.2024 9:31:12,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:12,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:12,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:14,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:14,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:31:14,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:14,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:14,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:16,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:16,TIC Turbo Power,,7.5,,0,0
15.02.2024 9:31:16,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:16,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:16,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:18,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:18,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:18,TIC Turbo Power,,5.8,,0,0
15.02.2024 9:31:18,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:18,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:20,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:20,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:20,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:20,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:20,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:22,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:22,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:31:22,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:22,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:22,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:24,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:24,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:31:24,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:24,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:24,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:26,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:26,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:26,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:26,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:26,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:28,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:28,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:31:28,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:28,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:29,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:30,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:30,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:30,TIC Turbo Power,,8.4,,0,0
15.02.2024 9:31:30,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:31,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:32,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:32,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:31:32,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:33,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:33,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:34,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:34,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:31:35,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:35,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:35,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:37,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:37,TIC Turbo Power,,8.2,,0,0
15.02.2024 9:31:37,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:37,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:37,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:39,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:39,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:31:39,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:39,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:39,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:41,TIC Turbo Power,,8.2,,0,0
15.02.2024 9:31:41,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:41,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:41,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:41,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:43,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:43,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:43,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:31:43,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:43,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:45,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:45,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:45,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:45,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:45,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:47,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:47,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:47,TIC Turbo Power,,7.3,,0,0
15.02.2024 9:31:47,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:47,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:49,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:49,TIC Turbo Power,,7.3,,0,0
15.02.2024 9:31:49,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:49,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:49,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:51,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:51,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:51,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:51,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:51,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:53,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:53,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:31:53,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:53,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:53,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:55,TIC Turbo Speed,,1.6,,0,0
